Apple;Google;Microsoft;3M;Abbott;Amazon;IBM;Ebay;Nike;GlaxoSmithKline;J&J;Pfizer;Yahoo;Pepsi
0.02143228;0.036954708;0.010112076;0.0040917;0.002272413;0.040465735;0.021443686;0.031769317;0.02543979;0.018723032;-0.002104769;0.019643846;0.016036999;0.007775934
-0.0053437;-0.004183133;-0.007936513;0.004481599;-0.003410578;-0.005718783;0.001491414;-0.009940758;-0.004864352;0.001453716;0.002589836;0.003170791;-0.013401083;-0.008094608
0.003186891;-0.00202118;-0.010559027;0.009708733;0.013385149;-0.006801046;-0.010056809;-0.000322353;9.56E-05;0.010117539;-0.00226574;0.005524876;0.010474728;0.004769469
-0.000340979;-0.00387807;-0.001098663;0.002814153;0.018369436;0.019236414;0.003006219;-0.006468361;0.011879446;-0.000719313;0.006781844;0;-0.053163044;-0.002699883
0.02136838;0.003944018;0.005481468;0.00587053;-0.000183911;-0.000772672;0.00885861;0.005823407;-0.002364626;0.007348362;-0.005648333;-0.001181374;0.029438735;0.004601309
-0.016492212;-0.026110341;-0.026589528;-0.005335494;-0.004977174;-0.025839908;-0.014987991;-0.019215703;-0.00951482;-0.01348335;-0.016645309;-0.017488443;-0.014441931;-0.016117767
0.017937656;0.011155757;0.025130702;0.013681637;-0.006303307;0.006851199;0.011262016;0.023721633;0.002101061;-0.007630815;-0.000987833;-0.003212854;0.010097763;0.008490223
-0.004789183;-0.004048389;-0.004389144;0.002503394;-0.002607341;-0.007909427;-0.003311845;0.01908455;0.007981836;-0.002008234;-0.002969319;0.005215619;0.006675525;0.004774086
0.000223264;-0.012040141;0.00183113;-0.009387244;-0.014083413;0.001851091;-0.002142443;0;0.016985319;-0.003111598;-0.000330486;0;-0.006006024;-0.006690085
0.017043374;0.014368311;0.018129576;0.01424453;0.005657177;0.015727795;0.007904314;-0.000945595;0.007878061;0.00439002;0.003629202;0.014697424;0.005007588;0.004305883
0.003833256;-0.004369705;0.00035926;0.000261831;0.024151264;0.003375337;0.005411462;-0.006644511;0.008549025;0.015035117;0.005582937;0.007072721;0.009940406;0.00887208
0.025790488;0.024994902;0.02413176;0.00678506;0.003664372;0.031132828;0.009059379;0.020735867;-0.003668065;0.01126321;0.002453203;0.012064711;0.031161268;0.012227743
0.000958335;0.011953276;-0.008804424;0.011378413;-0.003297203;-0.007819361;-0.001784299;0.006199648;-0.00229938;-0.013783446;-0.005897789;-0.002323742;-0.000959265;-0.001091262
-0.004693875;-0.000454637;-0.008882631;0.002439834;-0.011812514;-0.012998832;-0.001682295;-0.016513883;0.004135131;-0.011602741;-0.005767553;-0.005053499;0.003193902;-0.00031209
0.024609153;0.006840568;0.00711237;-0.00759584;0.060864758;0.000769278;-0.000315729;0.042742896;-0.002387093;0.005818198;-0.004306035;0.000389636;0.009520827;-0.003125444
-0.004077116;-0.002972156;-0.017876773;-0.002717556;-0.011243962;0.009186107;-0.00284612;0.003305848;-0.020617381;-0.009654852;-0.003658152;-0.007036776;-0.003480497;-0.014822063
-0.02353054;-0.003760173;-0.002890176;-0.010289912;-0.014952089;-0.000762267;-0.004973829;-0.006622571;-0.013604395;-0.010858669;-0.000499858;-0.01223619;-0.004447244;-0.000953624
0.005454904;-0.002080572;0.003971877;-0.003804045;0.000896245;0.011876349;0.003283358;-0.002116403;-0.001523046;0.009393162;0.005650672;0.009092769;-0.002231077;0.011069073
-0.009000446;-0.006006027;0.004315037;0.004458492;-0.000179213;-0.000502513;-0.003283358;0.003323768;0.012214335;0.012931589;-0.001326733;-0.00592068;-0.001596647;-0.000471868
0.007933189;0.00080726;-0.004675462;-0.001964522;0.000179213;0.015709013;0.010028025;-0.004535155;0.001598552;-0.001267524;-0.002658692;0.003162058;-0.000319642;-0.002678253
0.009035395;0.030223637;0.004675462;0.015350894;0.015291989;0.018870822;0.009304327;0.023953182;-0.693429077;0.009736842;0.008944917;0.01293882;0.013968418;0.000157788
-0.002436818;-0.003348801;0.02235321;-0.003880421;-0.006728253;0.008220549;0.001143997;-0.00236964;0.007304068;0.006617175;0.010661989;0.00543898;-0.003157502;0.005191516
0.004339737;0.001039732;0.001752814;-0.005327853;0.012885389;0.003605364;0.003216918;-0.000296663;-0.002054731;0.002492506;0.004233123;0.001161704;0.010695226;-0.000784868
